gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DNHD1,218.3923253023276,-0.10236348408271978,0.15101548773695747,-0.7519906788217707,0.4520566642932402,0.9999903719397224
RRP8,154.18352290635673,0.008945181496863666,0.14643827575503224,0.06117588674250878,0.9512191333478526,0.9999903719397224
ILK,14.82177121660894,0.10472972534695621,0.1516245460869958,0.6895899227018456,0.4904521063979337,0.9999903719397224
TAF10,343.98480799507155,-0.15368065720843033,0.14855779753297604,-1.035914272320378,0.30024213857096926,0.9999903719397224
TPP1,876.4692844375755,0.09403515190644261,0.1488923011097255,0.6420866231771611,0.520816940862282,0.9999903719397224
DCHS1,18.145216082350544,0.19683590519432467,0.11999204477937425,1.4957603441828329,0.13471611875837627,0.9999903719397224
MRPL17,594.3798263209978,-0.18848713280874546,0.15497188314472987,-1.2113679557541963,0.22575441483104094,0.9999903719397224
ZNF215,42.18285123310503,0.19998470543450977,0.15952030709622858,1.2520506404432552,0.21055141191314072,0.9999903719397224
ZNF214,9.295436872308768,-0.0201850095115764,0.11921368768530928,-0.27352431798443944,0.7844502017460168,0.9999903719397224
PPFIBP2,1017.8594862313098,-0.09835044857872931,0.15866455995807613,-0.6142643369000836,0.5390406649896008,0.9999903719397224
CYB5R2,206.4247374991011,-0.013660394362312945,0.16270425403156127,-0.08409319291269449,0.9329823367436771,0.9999903719397224
EIF3F,2056.0847589701284,-0.0838192231796139,0.16272195985654747,-0.5323524856289741,0.5944818870233908,0.9999903719397224
TRIM66,62.215115345242225,-0.06630374658414084,0.14876120915121796,-0.4191404990550842,0.6751134541879602,0.9999903719397224
RPL27A,14586.622917841281,-0.06575970125386511,0.1397938840996353,-0.4729908502358926,0.6362197070074749,0.9999903719397224
AKIP1,153.7713924618922,-0.13083794062311027,0.1389156037439998,-0.9420203798897842,0.346182205952659,0.9999903719397224
TMEM9B,956.1124616226476,-4.4661051487807145e-4,0.1635244142521615,-0.0036940004472320207,0.9970526207787018,0.9999903719397224
NRIP3,14.003018078534966,0.006027665479130742,0.12726726114129877,-0.04964214039411301,0.9604075648326216,0.9999903719397224
SCUBE2,6.4771814664750575,0.2048747704290576,0.09722754260667557,2.3708831268818753,0.01774564145086621,0.488919078514316
DENND5A,174.17655319021355,-0.14632141170809085,0.15615350750518964,-0.9383511436885028,0.3480639846963289,0.9999903719397224
TMEM41B,1676.325714984969,-0.006377520372611816,0.1095547450885922,-0.05891302766052041,0.9530213815029193,0.9999903719397224
IPO7,3007.0136863812068,-0.1696509159108512,0.13698475585099565,-1.2370830099119474,0.216056266664796,0.9999903719397224
ZNF143,533.5747078603926,-0.13559788043976442,0.13764329780390955,-0.9849487968359174,0.32464922259348733,0.9999903719397224
WEE1,722.2016768342935,0.18620583975302676,0.14298681769240504,1.303832914840773,0.19229055740851742,0.9999903719397224
SWAP70,1048.6234134904175,-0.10435519844719032,0.10374929114806448,-1.0064651028093312,0.3141918903553267,0.9999903719397224
SBF2,1441.660948507488,-0.040927230227832366,0.16232722506183084,-0.250659631916495,0.8020772734681643,0.9999903719397224
ADM,942.489948118672,0.019307699475147534,0.1619853695162947,0.2370890096125722,0.8125877383870814,0.9999903719397224
AMPD3,89.0643899109433,-0.041664018448529856,0.1612874642437083,-0.2578131143064872,0.7965511428017327,0.9999903719397224
RNF141,1863.3735842920917,-0.09440254136891556,0.16019699588249203,-0.5913850761123548,0.5542624375301703,0.9999903719397224
CTR9,884.7817931623345,0.04635637902419747,0.11745008993701941,0.39466416756391254,0.6930907506294113,0.9999903719397224
EIF4G2,16586.018327003756,0.007583247607091932,0.13397219915616623,0.05332142742864271,0.9574758078661899,0.9999903719397224
ZBED5,511.2124606729519,-0.0266578259899562,0.1635178523508886,-0.19883687953819468,0.8423903462468221,0.9999903719397224
GALNT18,121.75943720761272,0.3757554765085403,0.15530671433399562,2.4391678575425413,0.014721128452736161,0.43852568028927974
CSNK2A3,7.63441160927278,0.06491752705974614,0.12638693881569996,0.5176338623732187,0.6047137510218996,0.9999903719397224
USP47,1356.6436882793917,0.009948308996334946,0.14882881407495877,0.061717686255849155,0.9507876552233624,0.9999903719397224
DKK3,36.52150778283641,-0.26106635775216863,0.1383730085088239,-1.9118592888252568,0.05589424468241323,0.821091249750982
MICAL2,4644.885058410152,0.041312420836643104,0.15433242903499755,0.25889503954858895,0.7957162256069596,0.9999903719397224
PARVA,619.3407835893105,0.024782444787430576,0.11931513380158054,0.20541121491613729,0.8372508588587972,0.9999903719397224
TEAD1,837.1279311928488,-0.2058518083634944,0.09684926781660703,-2.127659039682198,0.03336536331677748,0.671438714144367
RASSF10,53.76997193247665,0.23685592645941497,0.1311007375095184,1.809751888661388,0.0703342718687697,0.9081454139074868
ARNTL,188.7815079918609,0.07449889779441714,0.15274849364686047,0.48407230051882544,0.6283345586702863,0.9999903719397224
BTBD10,1309.373821432789,-0.14752588829127367,0.1629114953380839,-0.9180992951210897,0.35856688385953384,0.9999903719397224
FAR1,1760.589136549172,-0.02532846214111735,0.16271968243300944,-0.15565970736480084,0.876301258809293,0.9999903719397224
SPON1,3504.4683699891766,-0.05686844032684645,0.1617933178402346,-0.34572773697391873,0.7295473371403847,0.9999903719397224
RRAS2,1663.3902147212902,0.22849048753867093,0.15940719669562778,1.4302040045300395,0.15265847645673225,0.9999903719397224
COPB1,5499.30775678707,-0.13532111346300987,0.16098167909201122,-0.8492358556398264,0.39575006537178903,0.9999903719397224
PSMA1,402.4276170368575,0.003944690906978828,0.16350299246253205,0.009225064662740576,0.9926395677310339,0.9999903719397224
PDE3B,295.5331773643162,-0.029129887944791155,0.16312330965617947,-0.18414611630407074,0.853898829443156,0.9999903719397224
CYP2R1,540.5250575293071,0.08384268510967581,0.15269889726292646,0.5417188254344358,0.5880122190493258,0.9999903719397224
INSC,322.7467296163046,-0.3390962846470055,0.1488577349302624,-2.278532849036383,0.022694849651660735,0.5638327186405472
SOX6,57.96450748812442,0.3515245576896412,0.12649118077399424,2.9624395374883266,0.0030521174613596883,0.15242188698820494
C11orf58,1681.8772878220655,-0.05636607119895903,0.16261581447325427,-0.35131929603474615,0.7253488202897316,0.9999903719397224
PLEKHA7,1372.5149703755606,0.1630521252819185,0.1277214547565291,1.2774768943536325,0.20143393270071622,0.9999903719397224
RPS13,7408.498400734145,-0.08050947748599023,0.15530703262656811,-0.5224166213911783,0.6013802856794157,0.9999903719397224
PIK3C2A,1774.293945365149,-0.15238841987178423,0.14309728925531906,-1.0664582435811623,0.28621654491153875,0.9999903719397224
NUCB2,943.2266248377782,-0.013840732953480855,0.1608997264375307,-0.17527626913535962,0.8608625575939333,0.9999903719397224
NCR3LG1,150.02707342591998,-0.10846981632942454,0.16221612142665742,-0.6383954630449592,0.5232162835586558,0.9999903719397224
KCNJ11,9.162496227420087,-0.09114655539689036,0.1274969332589101,-0.9145328914340571,0.3604369030412963,0.9999903719397224
USH1C,3556.290723575878,0.02543028065647664,0.1351129776405038,0.1882941154365726,0.85064609805418,0.9999903719397224
SERGEF,99.38610140821892,-0.07233128368667462,0.16348523211758595,-0.443148655482943,0.657658214085276,0.9999903719397224
TPH1,22.90017314605356,0.04352475975127633,0.11874798494515276,0.5050709220246481,0.6135090238108929,0.9999903719397224
SAAL1,93.20412085595817,0.15521871146647323,0.15853788481970293,0.9837000651771356,0.3252630077719941,0.9999903719397224
SAA2,9.472000503863933,-0.04394132796837404,0.1035593396651011,-0.4757948424485855,0.6342205445949443,0.9999903719397224
SAA1,9.91993102260454,-0.023494378403526705,0.09054050148247035,-0.2348345042006023,0.8143371860053374,0.9999903719397224
HPS5,371.9481409827978,0.12497239916936631,0.16301871387209718,0.7746076430827326,0.43857153960905,0.9999903719397224
GTF2H1,543.9064834329475,0.02334402137539372,0.16289926533557625,0.1250562896777404,0.900478987344904,0.9999903719397224
LDHA,56415.53121074016,0.08091805015476357,0.13725675055343958,0.5699260116369624,0.5687278816564005,0.9999903719397224
TSG101,1610.7356201058528,-0.05307586784559085,0.11735895823402359,-0.4544809819071583,0.649482677183728,0.9999903719397224
UEVLD,857.5618656834048,0.01080947751542472,0.1633778063547949,0.06638209949510086,0.9470736212986207,0.9999903719397224
SPTY2D1OS,3.4532616065286477,0.0705352848220759,0.08581143786129086,0.8234586949664996,0.4102471968256867,0.9999903719397224
