	H174CON1	H174CON2	HNF4AOE1	HNF4AOE2	HNF4GOE1	HNF4GOE2
Rab23	224.133393690511	128.998106757034	291.314819555982	241.521464533412	369.594135526699	124.406608767293
Bag2	240.287151794332	162.7833251934	256.13718096809	176.967340372408	413.232961167201	294.693668994864
Zfp451	396.776683425094	338.875978861732	394.649132907916	381.759734262491	701.78356336154	512.625813431185
Dst	1998.01795546631	2787.79241824923	2115.05552009702	2478.65576735442	2076.85186517654	3196.63222385746
Ccdc115	336.200090535767	298.947993436936	353.974988290665	360.612693589058	488.042376550919	433.217339749934
Imp4	791.534147087211	593.800808881585	969.583663578779	813.604564856795	1457.89301170411	679.383608161811
Ptpn18	515.910649440771	514.968632530064	602.417060817654	593.230140996815	521.884731129267	775.556092953548
Arhgef4	685.525109530888	778.08381853449	483.692530583518	389.550749247439	599.365911348117	746.439652603756
Fam168b	3263.05913697177	3204.47677896441	3545.24638893601	3873.24744966025	3409.17192962941	3404.85888817718
Plekhb2	16736.3030054397	18907.4367903881	16429.0565217515	19952.7893764538	9185.52750318645	12452.1309895943
Hs6st1	2661.33164760445	3219.83369643549	2496.51303853448	2420.77965603766	2371.63658531952	2458.13341862183
Uggt1	3225.70357135668	3191.16745048948	3540.84918411253	3035.15683770791	3649.63076479136	3384.56561156975
Neurl3	4315.07263348309	3891.44288717052	6175.87417458683	6267.31505432095	4806.50493840385	3078.40182970982
Arid5a	312.979063261525	294.852815444649	236.349759262401	230.391443126343	395.421195599649	465.863045596671
Kansl3	1488.16496531448	1549.00107558248	1403.80763989807	1530.37794347208	1300.25888643128	1988.74110752821
Fer1l5	72.6919114671928	81.9035598457358	90.1426988814738	94.6051819600924	85.4964747242485	152.640732742848
Lman2l	737.015213486816	814.940420465071	602.417060817654	663.349275861354	626.083559699445	802.907900554868
Cnnm4	6045.54397035487	6554.33237665501	7136.66342851863	8232.87683480945	3818.8425376831	4072.77238347392
Cnnm3	502.785720981417	512.921043533921	576.033831876735	575.422106745503	507.635318675226	526.742875418963
Ankrd39	58.5573731263498	30.7138349421509	69.2559759699128	69.0061327238321	81.0435333323606	74.9968918100701
Sema4c	67.6438620597489	90.0939158303094	29.6811325585341	44.5200856282788	57.8882380945433	272.635759638961
Cox5b	4336.27444099435	4026.58376091599	4610.46925742562	5300.11619404659	3546.32252449956	2662.83081744461
Actr1b	3625.50908442624	3535.16240184157	3661.7723167584	3923.33254599207	3344.15898530785	3418.97595016496
Tmem131	9538.79416030608	10551.2260971269	9506.75682837787	8402.05316019691	10017.3369551911	10458.9783001949
Vwa3b	25.2402470372197	36.8566019305811	31.8797349702773	30.0510577990882	18.7023538459294	33.5280222209725
Cnga3	84.8072300450583	100.331860811026	69.2559759699128	65.6671263017112	40.9670608053691	50.2920333314587
Inpp4a	94.9033288599462	147.426407722324	82.4475904403724	102.396196945041	111.323534797199	193.22728595771
Coa5	3816.32535202762	3714.32643900412	3890.4269675797	4257.23318820416	3516.04252303472	2631.94974434634
Unc50	839.995421398673	837.463899422649	782.702458580602	864.802663329315	660.816502556171	740.263437984103
Mgat4a	6707.84805261152	6283.02683466601	9003.27687608866	9946.90013149819	6724.83209002917	5111.25875594983
Tsga10	181.729778667982	178.140242664475	134.114747116339	165.837318965338	103.3082402918	211.755929816668
Lipt1	51.4901039559282	42.9993689190113	54.9650602935816	41.1810792061579	65.012944321564	80.2907900554868
Mitd1	308.940623735569	282.567281467789	278.123205085523	258.216496644017	308.143544318646	240.87237016646
