	GS4	GS5	GS6	GS3	GS7	MTA2_KO_4	MTA2_KO_5	WT_Ctrl_3	WT_Ctrl_4
Agtr1b	0.470331986181341	0.470331986181341	0.470331986181341	0.470331986181341	5.0543530156325	3.72188176447646	0.658660420603689	0.636277414329749	0.531725168876399
Tbl1xr1	1673.7318982758	1768.93813578763	1294.59643720919	1244.96328640517	1251.32150244207	1494.99173227002	1538.37240983968	1352.80475817911	1400.67210780711
Naaladl2	171.448037278813	196.527551082247	171.437763688368	211.911940400338	153.481273683524	239.283795612474	207.367665542552	150.947571482565	126.246220269042
Nlgn1	1.89066675757002	0.0929173474009026	0.0929173474009026	2.11207736592643	0.0929173474009026	2.7018918197043	-0.0929173474009026	-0.0929173474009026	0.909139807656837
Spata16	0	0	0	0	0	0	0	0	0
Ect2	720.200998631478	805.164840949213	679.605085176041	684.211550097362	872.524198186092	892.03733942787	753.647343615233	731.914397710543	631.766257678504
Nceh1	729.746691123749	1196.19718416226	683.43637208289	1557.91803370358	1748.93396176639	743.264927697229	855.303683482693	1592.08790424603	1542.32927884514
Tnfsf10	1633.51411988614	2113.61611789326	1100.40608010774	769.257943567408	314.738153203846	1632.5369062491	1881.09536494257	579.868434963251	651.725225571781
Ghsr	-0.0883581497707736	-0.0883581497707736	0.795223347936962	-0.0883581497707736	-0.0883581497707736	0.0883581497707736	0.0883581497707736	0.0883581497707736	0.0883581497707736
Fndc3b	809.979413659174	835.139518728077	846.540641827537	953.640968566134	1028.53726870676	987.410554413406	1003.84753789171	780.509280850228	807.302876034805
Tmem212	3.69287261294476	0.0973737926065073	0.0973737926065073	0.0973737926065073	0.0973737926065073	1.30003079094609	2.16061102096355	-0.0973737926065073	-0.0973737926065073
Pld1	3241.75587021969	3017.44256639452	3028.41688991442	3378.68980528632	3909.70267660232	3293.66926457533	3302.55786316483	3301.29329804949	3363.28582094413
Tnik	524.43015569937	709.793782813875	451.728122682578	483.173625399369	504.82574038356	544.707374621505	552.546766784459	495.30294594523	546.604054231809
Slc2a2	-0.180038570359797	-0.180038570359797	0.703542927347939	-0.180038570359797	0.736765635530435	0.180038570359797	0.180038570359797	0.180038570359797	0.180038570359797
Eif5a2	10.2595833147315	-1.5869238878014	2.976826429794	28.9723177306933	5.92657529655968	6.51687630711021	9.09861699716258	12.2841471610522	9.3390626418566
Rpl22l1	483.073109535019	300.142204490887	902.947331487688	513.143026567728	844.603431528665	483.502798971459	692.197657911596	654.49229517491	604.934530830021
Gm1527	0.174675572944075	0.174675572944075	0.174675572944075	0.174675572944075	0.174675572944075	1.22272901060853	-0.174675572944075	-0.174675572944075	-0.174675572944075
Egfem1	0	0	0	0	0	0	0	0	0
Mecom	1898.11318529169	1817.71298230847	1620.21730551092	2958.15397455398	2691.61938182608	2258.07830594312	1942.14065658106	2261.98458331911	2326.44991774964
Actrt3	0.808987234576106	-0.0898874705084562	-0.0898874705084562	-0.0898874705084562	-0.0898874705084562	0.0898874705084562	0.0898874705084562	0.0898874705084562	0.0898874705084562
Mynn	278.692303798978	338.272980547194	280.029427544478	351.14034556619	283.459151348485	316.474795261505	260.274269239459	342.6602354682	305.866067075093
Lrrc34	1.3682620256016	1.3682620256016	1.3682620256016	1.3682620256016	4.1186746432723	8.41357005926659	0.889722787968463	-0.261652625090507	-1.3682620256016
Lrriq4	0.141124050848129	0.141124050848129	0.141124050848129	0.141124050848129	0.141124050848129	-0.141124050848129	0.987868355936901	-0.141124050848129	-0.141124050848129
Lrrc31	226.815039376146	218.620554062085	214.847541416967	193.619298636466	255.121193759506	247.683665241672	190.954621187897	219.596612016435	228.984003354935
Samd7	0	0	0	0	0	0	0	0	0
Sec62	1944.3808257304	1908.8485989732	1973.38172112452	2265.97095987399	2222.17929119833	2025.21532819448	2003.91147171609	2194.08779481087	2028.59452279892
Gpr160	996.284590490833	805.33237026774	687.516555685876	741.761421326835	707.351225170559	726.296152332582	817.692089472362	835.030662132562	771.578026415965
Phc3	911.875657670473	784.731507409716	737.719704107992	912.894012173824	751.255490661221	998.288527604831	800.471553880061	658.286452089459	821.734564044231
Prkci	1890.62740172611	1908.10774614349	1907.79843802744	1949.86036529903	2013.2098148921	2025.54307938926	2010.10275919072	1826.32749366486	1873.70968062571
Skil	1524.62925119758	1612.52542788314	1134.59362651461	1330.8735997656	702.006993226756	1727.03082504133	1660.91314658051	812.79172964133	842.96741760698
Cldn11	0.407505246078475	0.407505246078475	0.407505246078475	0.407505246078475	0.407505246078475	-0.407505246078475	1.85047956749159	-0.407505246078475	0.594551908979265
Slc7a14	-0.645248058274513	-1.54412276335907	-1.54412276335907	26.7241174959983	-1.54412276335907	7.13374109756947	4.93109998371416	1.54412276335907	3.54823707347455
Kcnmb2	0.166237444501239	0.903976113152249	0.166237444501239	0.166237444501239	1.9998458562817	-0.166237444501239	3.22073977585385	-0.166237444501239	-0.166237444501239
Zmat3	507.375746852391	468.511307666455	478.63023967063	628.585742423587	638.149950132987	640.061392864808	478.814830417897	510.099761619555	548.026404494578
Pik3ca	1073.24546310191	1118.30167533362	901.356094404764	1186.76294383045	1058.52620284684	1117.76797498639	834.415990522728	1154.30389082784	1164.06604727711
Kcnmb3	3.81226204874024	2.01451263857112	2.01451263857112	2.01451263857112	4.76492525624182	-2.01451263857112	0.243472174998936	13.4780189685842	-0.0103983284556439
Zfp639	203.514095934312	226.413464255877	246.172294229096	270.727676730924	310.967813873127	234.289767780574	198.607560914099	304.021035404019	269.317911919979
Mfn1	1675.4413271833	1645.64144057092	1658.59642244454	1844.5161003278	1912.86581640806	1723.49106292025	1553.42582037007	1909.89262908337	1802.83937317404
Gnb4	20.4676011730598	40.0215846496533	14.0378393710764	34.3538461510642	26.2552984212919	45.6183636997394	17.6232346507788	24.8994573226038	19.9678801397945
Actl6a	570.660468574886	551.608560008877	638.318698974313	511.834415705836	568.864982859113	616.924548094238	520.683570355916	593.731378515532	541.690203932737
Mrpl47	339.390508691698	339.830043484816	340.916170542652	367.068143857309	368.130502606393	337.612211627533	343.165899458569	353.644637660363	369.845546599833
Ndufb5	1878.24095696895	1766.32001530893	1951.79298384243	1734.75651701675	2265.06020594019	1741.78554210433	1949.9603800085	2030.08550186177	1955.1051192872
Usp13	0.315799623792204	0.315799623792204	0.315799623792204	0.315799623792204	0.315799623792204	1.0816049597604	0.813192782992826	-0.315799623792204	-0.315799623792204
Pex5l	11.547934226194	11.547934226194	11.547934226194	17.6054142817706	31.7176267557791	21.9897757790684	11.0319139095066	21.6503477891388	12.5014374951918
Ttc14	746.808168517511	656.665182637639	689.585817183055	649.7323186105	579.977195235094	565.062205276479	534.645956204711	757.212235010676	801.294549255172
Ccdc39	32.2724920864972	22.8003369263509	24.1214469112288	33.7116610408138	40.756813449983	38.1038715888113	13.282651283153	26.9970833015791	44.5465941583553
Fxr1	583.048993061056	608.379852146424	510.018953629053	842.67023205483	683.251857709573	621.811013108379	564.011120900462	725.821353256793	670.252423615116
Dnajc19	402.006663607686	385.621909563548	492.437606164832	398.803675159546	554.909674335288	455.472827331954	430.15911483472	449.129901320121	452.261779577922
Sox2	0	0	0	0	0	0	0	0	0
Atp11b	5714.16928575873	5358.21992076052	5072.7374397396	4729.6943323534	5023.98799479141	5431.13571852407	5447.57626525113	4734.78931477001	5105.54588017772
Dcun1d1	992.58319961379	1180.7318596237	878.253993543596	969.90131411453	1026.66251728617	1070.05845727005	962.912256145931	999.287018677559	1006.24857525189
Mccc1	732.736482263683	828.972029617083	638.034841605095	740.981993212842	709.038073616976	618.730681267175	775.873789624326	757.166994019511	768.039271341532
Ccdc144b	0.141124050848129	0.141124050848129	0.141124050848129	0.141124050848129	0.141124050848129	-0.141124050848129	0.987868355936901	-0.141124050848129	-0.141124050848129
Acad9	986.75384886608	968.09878658907	943.5087860043	815.814104124349	908.51688639891	1067.88851610464	963.434743070002	854.485546034294	812.345124377236
Qrfpr	0.141124050848129	0.141124050848129	0.141124050848129	0.141124050848129	0.141124050848129	-0.141124050848129	0.987868355936901	-0.141124050848129	-0.141124050848129
Anxa5	922.609736921729	892.449675475123	978.940954628436	920.526114019306	981.053118465026	1032.76367028228	878.523543949674	976.612377747822	868.564087627919
1810062G17Rik	11.1210162848353	13.1051547408381	28.7008869947291	13.8044081284301	28.6478732015838	9.64368236475062	22.4970421152977	20.8308575579382	23.3318894423465
Exosc9	328.513731789079	433.246184916057	404.56610359502	290.373720287573	313.805338010821	369.638822767933	343.968129106992	352.076967463845	350.720143540067
Ccna2	1367.03509477865	1733.74479738342	1121.2252560915	1420.86380673819	1303.32582729367	1727.86048603864	1384.38967974792	1259.99986039059	1184.70579965123
Bbs7	112.725834526687	95.305707097146	79.7970719405516	115.113269262878	105.906557073327	129.395759775572	95.3461443821933	89.129066278234	93.2077814844722
Trpc3	-0.0883581497707736	-0.0883581497707736	0.795223347936962	-0.0883581497707736	-0.0883581497707736	0.0883581497707736	0.0883581497707736	0.0883581497707736	0.0883581497707736
4932438A13Rik	1852.25308225947	1599.01095791546	1353.42143675973	1553.65989712407	1324.73900091007	2206.44929138884	1732.9675063549	980.125459703748	1226.92524252756
Adad1	0.141124050848129	0.141124050848129	0.141124050848129	0.141124050848129	0.141124050848129	-0.141124050848129	0.987868355936901	-0.141124050848129	-0.141124050848129
Il2	-0.0615812726807097	1.41389606462131	-0.0615812726807097	2.96715875510758	-0.0615812726807097	0.0615812726807097	0.0615812726807097	1.1681906731918	2.06569558279619
Il21	0.359920350503427	5.36295499462695	-0.538954354581135	-0.538954354581135	-0.538954354581135	0.538954354581135	1.66794676136616	0.538954354581135	0.538954354581135
Cetn4	3.8468930804357	0.251394260097453	2.01855725551292	0.251394260097453	2.08500267187791	1.14601032345515	2.00659055347261	0.855215140413637	2.75477720507577
Bbs12	15.9703374367136	10.2548171333391	23.8002252570686	26.9517799627668	18.8641860608297	6.59211062304148	23.9614400007287	28.84537982134	17.2741462354642
Fgf2	29.2668661545114	23.8988709334041	38.7568645186441	20.8316456245569	31.3694170783769	31.7280102625454	12.4410645913827	31.800458643734	39.3293979499328
Nudt6	33.6792340969852	27.9462782988941	44.6917041385042	26.0057184246191	54.4047411515461	15.1469505139252	22.4106919302619	70.5419303959016	41.28256804835
Spata5	122.728906374561	235.581886252749	158.593730420466	339.38679308538	218.858242828191	244.396433890251	203.376408222722	213.701164200695	198.645640855413
