	HCO118C	HCO118OE	HCO80C	HCO80OE	HCO83C	HCO83OE	HCO88C	HCO88OE	HCO89C	HCO89OE
ITGA3	8759.41565504846	8394.98985008722	9485.46161455581	9084.70958909728	4013.28475504091	4965.37505041925	4708.41338738001	4579.56148969541	7320.98348175905	5381.83276225238
PDK2	162.961491377931	285.760535523045	250.592478920728	332.741632617348	44.3702018246646	129.135739959742	92.1727746873585	85.3272088172095	67.8566955054906	125.368821334616
PPP1R9B	792.200082363239	936.905285197847	862.93519005776	1006.85508428881	528.005401713509	771.638970743048	453.261995112062	473.816971314387	442.684156392963	512.507741615908
COL1A1	64.9962017634524	59.2754052013746	127.733909488776	97.8087796166269	207.430693530307	172.53381650359	134.933340263968	124.477339921576	80.7817803636793	93.274403072954
TMEM92	1089.86384696108	701.573079472986	1478.20310522889	1464.25496543715	804.209908072046	929.353931841421	641.408483649144	676.594573444696	721.650571248869	851.505034504709
XYLT2	414.468532984334	415.812543949941	293.495471420775	335.618361429602	239.599089853189	196.879078955016	386.745559770669	319.224145927913	302.662403762585	242.714038103816
MRPL27	489.826448072395	462.70204358685	390.02720454588	485.208259666796	824.176498893145	765.288032712241	426.655420975505	468.797723736904	463.148874085095	497.463483055755
EME1	15.0715830176122	14.1553206451044	16.5761561931999	25.8905593102836	8.87404036493292	6.35093803080698	15.2037566494612	22.0846893409248	12.9250848581887	15.0442585601539
LRRC59	3636.01940299893	3584.83495337269	3561.92344551525	3480.84186282701	1174.701093308	1425.78558791617	1029.1042782104	963.695534876719	1431.4531480444	1141.35774943034
ACSF2	1185.94518869836	1333.25426326077	1052.09838426251	1334.80216888573	755.402686064915	961.108621995456	1272.36438460178	1459.59719553203	869.21195671319	1402.12489780634
CHAD	43.3308011756349	52.1977448788224	21.4514962500234	44.1098417878905	108.706994470428	87.8546427594965	37.0591568330617	58.2232718988018	47.3919778133586	140.413079894769
RSAD1	164.845439255133	194.635658870185	123.833637443317	168.768090318886	198.556653165374	293.201639088922	303.124898198633	417.601398446578	326.358392669265	439.292349956493
EPN3	179.917022272745	148.630866773596	260.343159034375	200.412107253677	104.269974287962	92.0886014467012	35.158687251879	39.1501311043667	178.797007204944	97.2862053556617
SPATA20	1609.8334610687	1563.27822374372	1047.22304420569	1122.88314638304	1284.51734282404	1219.38010191494	787.744641400208	861.302884296068	1328.05246917889	923.717475593447
CACNA1G	2.82592181580228	7.0776603225522	8.77561210228231	12.4658248530995	4.43702018246646	1.05848967180116	3.8009391623653	5.01924757748291	6.46254242909435	2.00590114135385
ABCC3	15941.9669368793	15503.6149365506	15337.8198187667	14955.1541853031	7538.49729001052	7912.21029671369	14227.8655195239	12064.2634772379	15248.3688614481	12875.8794263504
ANKRD40	367.369836054296	372.461874474309	368.575708295857	343.289638262279	310.591412772652	302.728046135133	304.075132989224	277.062466277057	341.437658337151	329.970737752708
LUC7L3	340.994565773475	396.348978062923	346.149144034469	301.097615682557	2409.30195907929	2088.40012246369	3494.96355979489	3139.03743495781	2789.66414855906	3516.3447007933
ANKRD40CL	281.650207641627	437.930232457917	324.697647784445	399.865304903269	386.020755874582	625.567396034487	375.342742283573	433.662990694524	388.82963615051	561.652319579078
TOB1	4326.48629999329	3779.47061224287	5888.43572063143	5502.2233082373	2610.0771223359	2223.88680045424	2844.05272823984	2734.48608021269	3354.05952069997	3400.00243459477
SPAG9	3797.09694649966	3283.1496821239	3909.04765756109	3584.40410006815	3792.54300096321	2757.36559504203	3966.28001592819	3926.05545510713	4281.43435927501	4190.32748428819
NME1	100.791211430281	114.127272701154	50.7035365909645	64.2469434736667	66.5553027369969	170.416837159987	40.860095995427	46.1770777128428	44.1607065988114	35.1032699736924
NME2	23.549348465019	19.4635658870185	3.9002720454588	3.83563841633831	21.0758458667157	17.9943244206198	3.8009391623653	4.01539806198633	7.53963283394341	3.00885171203077
MBTD1	261.868754931011	215.868639837842	241.816866818446	183.151734380154	228.506539397023	210.639444688431	514.077021709907	549.105684976631	345.746019956548	412.212684548216
UTP18	419.178402677338	376.000704635585	375.40118437541	350.960915094955	390.457776057049	408.577013315249	296.473254664493	290.112509978512	344.668929551699	300.885171203077
TOM1L1	912.772746504136	1132.42565160835	1298.79059113778	1189.04790906488	867.437445672193	909.242628077199	1298.97095873834	1132.34225348015	1148.1783715691	1190.50232739351
COX11	294.837842782038	347.690063345377	303.246151534422	289.590700433542	310.591412772652	443.507172484687	323.07982880105	268.027820637587	350.054381575944	452.330707375293
STXBP4	23.549348465019	31.8494714514849	23.4016322727528	51.7811186205672	119.799544926594	353.535550381588	14.2535218588699	21.0808398254282	22.6188985018302	26.0767148376
MMD	138.470168974312	192.866243789547	107.257481250117	116.986971698318	190.791867846058	236.043196811659	114.97840966155	153.588975870977	78.6275995539812	108.318661633108
PCTP	525.621457739224	711.304862416496	876.586142216866	909.046304672179	909.589137405624	845.733247769129	675.616936110432	719.76010261105	841.207606187114	970.856152415263
C17orf67	55.5764623774448	57.5059901207366	74.1051688637173	103.562237241134	341.650554049917	274.148824996501	250.86198471611	196.75450503733	324.204211859566	289.852714925631
DGKE	291.069947027635	193.750951329866	207.689486420681	210.001203294522	367.1634200991	241.335645170665	358.238516052929	331.270340113872	334.975115908057	247.7287909572
TRIM25	1984.7390886318	2566.53657446549	2102.2466325023	2229.46482949664	1585.12546018614	1529.51757575268	1925.17568573802	1728.62886568511	1944.14818075255	1709.02777243348
COIL	365.485888177095	333.534742700272	309.09655960261	355.755463115378	634.493886092704	490.080718043938	484.619743201576	462.774626643924	477.151049348133	453.33365794597
